Well,count,mean,std,min,25%,50%,75%,max,95% CI lower,95% CI upper,IQR,Treatment
B20,1457.0,0.46252696901635465,0.13599821584806543,0.028022368943306283,0.42892662277793203,0.5168367691478069,0.5424330481556053,0.9158426421080116,0.4555436882021654,0.4695102498305439,0.1135064253776733,Treated
B22,1422.0,0.4698854010523087,0.13051074590820105,0.0245915954069516,0.4420210871378744,0.5213555360134122,0.5437948379607518,0.9184690442488506,0.4631019211137042,0.4766688809909132,0.10177375082287737,Neutral Control
B23,800.0,0.5538593121314185,0.10332037037835146,0.040418242591566025,0.5313407815099287,0.556116153965885,0.5872767557520855,0.9100450977805425,0.5466995757475531,0.5610190485152838,0.055935974242156794,Stimulator Control
C02,1455.0,0.45753644273415534,0.14027151194606036,0.024695068702467543,0.4104672334277576,0.5134725779474288,0.5419435113096437,0.9351021446776565,0.4503287867015537,0.464744098766757,0.1314762778818861,Treated
C12,1414.0,0.4704417455219205,0.11862469014797787,0.0391282684329483,0.4483536428876402,0.5185117636611527,0.5369480626633242,0.8452209433688787,0.4642586428564665,0.47662484818737444,0.088594419775684,Neutral Control
C13,632.0,0.5554994702227495,0.1132115148268248,0.052456352001968964,0.5270223582737539,0.5555408695343886,0.6000843774138946,0.9189447050826006,0.5466729781859907,0.5643259622595083,0.07306201914014077,Stimulator Control
D02,1493.0,0.46365126567897674,0.13507926409075194,0.023944706486602668,0.4230811905384481,0.5144429941547017,0.5457809529280298,0.9183514600515804,0.45679930513567835,0.47050322622227514,0.12269976238958163,Negative Control
D15,1426.0,0.46288415326290167,0.12925034148700387,0.024766800362110247,0.4268566574186554,0.5151043983309893,0.5402305621459076,0.9028136027246875,0.4561756133528581,0.4695926931729452,0.11337390472725217,Negative Control
D16,1348.0,0.46399044013988144,0.13275929506118414,0.02148565922502039,0.4265342061294565,0.5148529748960338,0.5423945822171679,0.9437032181294434,0.45690321771343123,0.47107766256633166,0.11586037608771138,Treated
D18,685.0,0.5308234762819783,0.09080889432555021,0.17318544010843698,0.49859742147595754,0.5435459030851143,0.5843891713136607,0.7818004380574818,0.5240230024559793,0.5376239501079774,0.08579174983770321,Treated
D20,1351.0,0.4758410361977736,0.12984677635335462,0.022220727205674074,0.4506338045877308,0.5253072037150703,0.5495576846789745,0.8715560151527011,0.46891699618509614,0.4827650762104511,0.0989238800912437,Treated
D22,1253.0,0.4811767327555245,0.1287681207206282,0.018391075681726203,0.46265192183292286,0.5263908201573924,0.5500141074609513,0.8708235451007686,0.47404674320474727,0.4883067223063018,0.08736218562802839,Treated
E02,1310.0,0.46668302765824904,0.14015470667066848,0.030750347847793257,0.42958102770501977,0.5208377257126511,0.552622460712369,0.8178991513183905,0.45909326648235377,0.4742727888341443,0.12304143300734921,Treated
E04,1305.0,0.47717282407249045,0.12316628468782068,0.03442579307561702,0.4507469081184178,0.5230315131737404,0.5487061843446602,0.8589957543977514,0.47049026730620486,0.48385538083877605,0.09795927622624245,Treated
E06,1283.0,0.4875144650990098,0.1167776155160776,0.032672738693728894,0.4699007688773563,0.5272727927835731,0.548705175394211,0.8754147076538149,0.48112444320303865,0.49390448699498096,0.07880440651685472,Treated
E07,1235.0,0.4801984476678046,0.11630430153304931,0.06138306748339201,0.4489416121802915,0.5199048584821121,0.5443543128303544,0.9275567636658847,0.4737118289634458,0.4866850663721634,0.09541270065006291,Neutral Control
E08,646.0,0.5595080614585906,0.10734367124299211,0.14415094251782787,0.5265943927962317,0.5559218296042019,0.612388143144561,0.9400143668102622,0.5512302361540756,0.5677858867631055,0.08579375034832937,Stimulator Control
E10,782.0,0.5275689260597132,0.1125809145977079,0.07335839451019475,0.5101117034455308,0.552485125320404,0.5771248032808955,0.9334505896436648,0.5196781908976341,0.5354596612217922,0.06701309983536474,Treated
E12,1423.0,0.4763075237897577,0.1250753910017429,0.04357994210124663,0.4499465464790341,0.5241335364527875,0.5462871909970822,0.8738095693651996,0.4698088387315112,0.48280620884800424,0.09634064451804814,Treated
E14,651.0,0.4754206130325112,0.12705519883343305,0.040817414454147875,0.42621538516015856,0.5135906785018084,0.5461201458360483,0.8923899474550625,0.4656604287597427,0.48518079730527974,0.11990476067588973,Treated
